City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Rio Gallegos,AR,-51.6226,-69.2181,281.18,53,0,6.69,clear sky
211,Genhe,CN,50.7833,121.5167,285.8,88,100,2.7,light rain
212,Fort Frances,CA,48.5999,-93.4003,301.27,61,75,7.72,broken clouds
213,Ugoofaaru,MV,5.6667,73.0,301.19,72,100,7.31,overcast clouds
214,Dhidhdhoo,MV,6.8833,73.1,300.6,76,100,7.52,overcast clouds
215,Vicuna,CL,-30.0319,-70.7081,281.0,45,50,0.79,scattered clouds
216,Pochutla,MX,15.7432,-96.4661,302.62,81,78,3.35,broken clouds
217,Yulara,AU,-25.2406,130.9889,283.06,34,0,1.03,clear sky
218,Komsomolskiy,UZ,40.4272,71.7189,298.55,23,0,4.12,clear sky
219,Bogorodskoye,RU,56.55,37.8833,294.14,82,12,1.35,few clouds
220,Port Elizabeth,ZA,-33.918,25.5701,284.32,76,75,5.14,light rain
221,Moerai,PF,-22.4333,-151.3333,296.12,65,79,4.95,broken clouds
222,Tonstad,NO,58.6626,6.7169,288.9,94,99,1.55,overcast clouds
223,Porto Novo,BJ,6.4965,2.6036,297.05,88,94,3.23,overcast clouds
224,Vilyuysk,RU,63.7553,121.6247,297.47,53,96,3.57,overcast clouds
225,Gonzalez,US,30.5816,-87.2914,305.23,85,93,0.45,overcast clouds
226,Bonthe,SL,7.5264,-12.505,298.43,76,100,4.08,overcast clouds
227,Bilma,NE,18.6853,12.9164,304.39,47,35,6.34,scattered clouds
228,Pundaguitan,PH,6.3711,126.1689,301.02,74,83,2.68,broken clouds
229,Bandarbeyla,SO,9.4942,50.8122,297.49,83,63,12.2,broken clouds
230,Warkworth,NZ,-36.4,174.6667,288.28,51,4,5.5,clear sky
231,Laishevo,RU,55.4046,49.5504,294.27,71,100,3.56,light rain
232,San Matias,BO,-16.3667,-58.4,301.38,30,13,1.08,few clouds
233,Leshukonskoye,RU,64.8989,45.7622,286.02,77,97,2.69,overcast clouds
234,Alihe,CN,50.5667,123.7167,287.59,82,100,2.5,overcast clouds
235,Okhotsk,RU,59.3833,143.3,290.82,57,9,2.04,clear sky
236,Pallasovka,RU,50.05,46.8833,299.31,19,99,4.15,overcast clouds
237,Sao Felix Do Xingu,BR,-6.6447,-51.995,299.36,38,29,0.76,scattered clouds
238,Priiskovyy,RU,51.9333,116.6333,291.54,90,100,2.28,overcast clouds
239,Buin,CL,-33.7333,-70.75,285.33,66,0,1.89,clear sky
240,Caravelas,BR,-17.7125,-39.2481,293.48,82,11,1.84,few clouds
241,Llanes,ES,43.4198,-4.7549,291.41,84,20,1.93,few clouds
242,Toba Tek Singh,PK,30.9743,72.4827,303.01,51,7,3.5,clear sky
243,Broome,US,42.2506,-75.833,301.47,57,1,1.54,clear sky
244,Raudeberg,NO,61.9875,5.1352,288.26,94,91,1.86,overcast clouds
245,Progreso,MX,21.2833,-89.6667,305.21,77,0,8.52,clear sky
246,Chekhov,RU,55.1431,37.4711,295.28,67,6,0.39,clear sky
247,Narsaq,GL,60.9167,-46.05,284.27,65,2,1.28,clear sky
248,Belaya Gora,RU,68.5333,146.4167,298.23,32,53,1.4,broken clouds
249,Krasnoselkup,RU,65.7,82.4667,285.83,80,14,5.04,few clouds
250,Scarborough,GB,54.2797,-0.4044,287.89,82,16,0.45,few clouds
251,Saint-Andre,RE,-20.95,55.65,292.84,83,90,3.09,overcast clouds
252,Rapar,IN,23.5667,70.6333,300.88,65,81,6.3,broken clouds
253,Tupik,RU,54.4253,119.9327,286.06,91,100,2.14,overcast clouds
254,Korhogo,CI,9.45,-5.6333,294.73,96,94,2.35,light rain
255,Newtownards,GB,54.5924,-5.6909,287.56,90,75,0.45,broken clouds
256,Buala,SB,-8.145,159.5921,302.13,67,14,3.28,few clouds
257,Chauk,MM,20.8833,94.8167,299.75,80,99,4.18,overcast clouds
258,Bemidji,US,47.4736,-94.8803,305.31,46,1,5.14,clear sky
